League,Country,LeagueSlug,WikipediaTitle,Level,RawLevel,Status,Aliases
Division 2,Sweden,Division_2_(Swedish_football),Division 2 (Swedish football),4,4,ok,Division 2 Norra Götaland; Division 2 Västra Götaland
Division 3,Sweden,Division_3_(Swedish_football),Division 3 (Swedish football),5,5,ok,Division 3 Norra Svealand
Tehran Province league,Iran,Tehran_Province_league,Tehran Province League,5,5,ok,Tehran Province League
League 2 (Iran),Iran,League_2_(Iran),League 2 (Iran),3,3 (2001–)<br />2 (1972–2001),ok,League 2
National League North,England,National_League_North,National League North,6,6<br>Step 2 ([[National League System]]),ok,
Armenian Premier League,Armenia,Armenian_Premier_League,Armenian Premier League,1,1,ok,
New Zealand Football Championship,New Zealand,New_Zealand_Football_Championship,New Zealand Football Championship,1,1,ok,ASB Premiership; ISPS Handa Premiership
São Vicente Island League,Cape Verde,S%C3%A3o_Vicente_Island_League,São Vicente Premier Division,1,manual: island top division (feeds national championship),manual,
Santiago Island League (South),Cape Verde,Santiago_Island_League_(South),Santiago South Premier Division,1,manual: island top division (feeds national championship),manual,
AF Madeira 1ª Divisão,Portugal,Madeira_Football_Association,Madeira Football Association,5,manual: Madeira FA first division = district Level 5,manual,
Saudi Second Division League,Saudi Arabia,Saudi_Second_Division_League,Saudi Second Division League,3,[[Saudi football league system|3]],ok,Second Division
Promotion League,Switzerland,Promotion_League,Promotion League,3,3,ok,
Thai League 1,Thailand,Thai_League_1,Thai League 1,1,[[Thai football league system|1]],ok,Thai League
Belgian Division 1,Belgium,Belgian_Division_1,Belgian Division 1,3,3,ok,
Jordanian Third Division League,Jordan,Jordanian_Third_Division_League,Jordanian Third Division League,4,4,ok,
Categoría Primera B,Colombia,Categor%C3%ADa_Primera_B,Categoría Primera B,2,2,ok,
Super League Greece 2,Greece,Super_League_Greece_2,Super League Greece 2,2,[[Greek football league system|2]],ok,
First Division League,United Arab Emirates,UAE_First_Division_League,UAE First Division League,2,2,ok,UAE Division One
Russian First League,Russia,Russian_First_League,Russian First League,2,2,ok,
Uzbekistan Pro League,Uzbekistan,Uzbekistan_Pro_League,Uzbekistan Pro League,2,2,ok,Uzbekistan First League
4. NL Središte Zagreb podskupina A,Croatia,Croatian_football_league_system,Croatian football league system,5,"manual: Četvrta NL Zagreb, regional ~Level 5 (post-2022)",manual,
1. ŽNL,Croatia,First_County_Football_League_(Croatia),First County Football League (Croatia),5,5,ok,
Ghana Premier League,Ghana,Ghana_Premier_League,Ghana Premier League,1,1,ok,Premier League
Liga Promerica,Costa Rica,Liga_FPD,Liga FPD,1,1,ok,
Liga 1,Peru,Peruvian_Primera_Divisi%C3%B3n,Liga 1 (Peru),1,1,ok,
Liga de Primera,Chile,Liga_de_Primera,Liga de Primera,1,1,ok,
2. Liga,Slovakia,2._Liga_(Slovakia),2. Liga (Slovakia),2,2,ok,
Moravian-Silesian Football League,Czech Republic,Moravian-Silesian_Football_League,Moravian-Silesian Football League,3,3,ok,
SAFA Second Division,South Africa,SAFA_Second_Division,SAFA Second Division,3,3,ok,ABC Motsepe League; SAFA Second Division Gauteng Stream
K3 League,South Korea,K3_League,K3 League,3,[[South Korean football league system|3]],ok,
First League of FBiH,Bosnia and Herzegovina,First_League_of_the_Federation_of_Bosnia_and_Herzegovina,First League of the Federation of Bosnia and Herzegovina,2,[[Bosnia and Herzegovina football league system|2]],ok,
League of Hercegovina-Neretva Canton,Bosnia and Herzegovina,League_of_Hercegovina-Neretva_Canton,League of Hercegovina-Neretva Canton,4,manual: cantonal league = Level 4 (per article),manual,
Ukrainian Premier League,Ukraine,Ukrainian_Premier_League,Ukrainian Premier League,1,1,ok,
Ekstraklasa,Poland,Ekstraklasa,Ekstraklasa,1,[[Polish football league system|1]],ok,
"III liga, group I",Poland,III_liga,III liga,4,[[Polish football league system|4]],ok,
Kazakhstan Premier League,Kazakhstan,Kazakhstan_Premier_League,Kazakhstan Premier League,1,1,ok,Premier League
3. NL – South,Croatia,Third_Football_League_(Croatia),Third Football League (Croatia),4,4,ok,
NB I,Hungary,Nemzeti_Bajnoks%C3%A1g_I,Nemzeti Bajnokság I,1,[[Hungarian football league system|1]],ok,
Second League of FBiH,Bosnia and Herzegovina,Second_League_of_the_Federation_of_Bosnia_and_Herzegovina,Second League of the Federation of Bosnia and Herzegovina,3,[[Bosnia and Herzegovina football league system|3]],ok,
Liga I,Romania,Liga_I,Liga I,1,[[Romanian football league system|1]],ok,
USL League Two,United States,USL_League_Two,USL League Two,4,"manual: amateur/pre-pro, ~Level 4 (below USL League One)",manual,Premier Development League
